"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Arun River at Simle","Koshi","2.29","2019-06-03 03:55:00","2019-06-03 09:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.28","2019-06-03 04:05:00","2019-06-03 09:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.26","2019-06-03 04:25:00","2019-06-03 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.26","2019-06-03 04:45:00","2019-06-03 10:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.26","2019-06-03 05:05:00","2019-06-03 10:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.25","2019-06-03 05:25:00","2019-06-03 11:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.24","2019-06-03 05:35:00","2019-06-03 11:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.25","2019-06-03 06:05:00","2019-06-03 11:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.23","2019-06-03 06:25:00","2019-06-03 12:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.23","2019-06-03 06:35:00","2019-06-03 12:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.21","2019-06-03 07:05:00","2019-06-03 12:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.19","2019-06-03 07:45:00","2019-06-03 13:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.19","2019-06-03 08:15:00","2019-06-03 14:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.16","2019-06-03 08:35:00","2019-06-03 14:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.16","2019-06-03 08:45:00","2019-06-03 14:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.16","2019-06-03 09:05:00","2019-06-03 14:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.14","2019-06-03 09:25:00","2019-06-03 15:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.14","2019-06-03 09:45:00","2019-06-03 15:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.12","2019-06-03 10:05:00","2019-06-03 15:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.11","2019-06-03 10:35:00","2019-06-03 16:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.11","2019-06-03 10:55:00","2019-06-03 16:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.10","2019-06-03 11:35:00","2019-06-03 17:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.07","2019-06-03 11:55:00","2019-06-03 17:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.07","2019-06-03 11:55:00","2019-06-03 17:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.08","2019-06-03 12:05:00","2019-06-03 17:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.09","2019-06-03 12:25:00","2019-06-03 18:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.09","2019-06-03 12:35:00","2019-06-03 18:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.07","2019-06-03 12:55:00","2019-06-03 18:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.06","2019-06-03 13:25:00","2019-06-03 19:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.06","2019-06-03 13:35:00","2019-06-03 19:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.06","2019-06-03 13:35:00","2019-06-03 19:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-03 13:55:00","2019-06-03 19:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-03 13:55:00","2019-06-03 19:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-03 14:25:00","2019-06-03 20:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-03 14:45:00","2019-06-03 20:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-03 15:05:00","2019-06-03 20:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-03 15:15:00","2019-06-03 21:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-03 15:35:00","2019-06-03 21:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-03 16:15:00","2019-06-03 22:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-03 16:35:00","2019-06-03 22:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-03 16:55:00","2019-06-03 22:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 17:15:00","2019-06-03 23:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-03 17:35:00","2019-06-03 23:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-03 17:55:00","2019-06-03 23:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 18:15:00","2019-06-04 00:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 18:35:00","2019-06-04 00:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.94","2019-06-03 18:55:00","2019-06-04 00:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 19:45:00","2019-06-04 01:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.94","2019-06-03 19:55:00","2019-06-04 01:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 20:15:00","2019-06-04 02:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 20:15:00","2019-06-04 02:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 20:45:00","2019-06-04 02:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-03 20:55:00","2019-06-04 02:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-03 21:25:00","2019-06-04 03:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-03 21:35:00","2019-06-04 03:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-03 22:05:00","2019-06-04 03:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-03 22:25:00","2019-06-04 04:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-03 23:05:00","2019-06-04 04:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-03 23:25:00","2019-06-04 05:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-03 23:45:00","2019-06-04 05:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-03 23:55:00","2019-06-04 05:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-04 00:15:00","2019-06-04 06:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 00:45:00","2019-06-04 06:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 00:55:00","2019-06-04 06:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 01:05:00","2019-06-04 06:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-04 01:25:00","2019-06-04 07:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-04 01:35:00","2019-06-04 07:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.06","2019-06-04 01:55:00","2019-06-04 07:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-04 02:15:00","2019-06-04 08:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-04 02:25:00","2019-06-04 08:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-04 02:55:00","2019-06-04 08:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-04 02:55:00","2019-06-04 08:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-04 03:15:00","2019-06-04 09:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 03:25:00","2019-06-04 09:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 03:35:00","2019-06-04 09:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-04 03:55:00","2019-06-04 09:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-04 04:15:00","2019-06-04 10:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-04 04:25:00","2019-06-04 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-04 04:25:00","2019-06-04 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-04 04:55:00","2019-06-04 10:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-04 05:05:00","2019-06-04 10:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-04 05:25:00","2019-06-04 11:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-04 05:25:00","2019-06-04 11:10:00","m",10,11,"26.9233","87.1552"
